SEASON	COMPETITION	PLAYER	TEAM	POS	OLD	NEW
1934	International Football	Detlef Lorenz	ISS	FWD	77	75
1934	International Football	Keigo MACHIDA	ISS	DEF	80	79
1934	International Football	Nicolas Bellamy	ISS	DEF	79	80
1934	International Football	Ovidio Vico	ISS	MID	76	75
1934	International Football	Rhys Warwick	ISS	MID	78	77
1934	International Football	Serafim CORREIA	ISS	MID	79	80
1934	International Football	Aleksi Järveläinen	KAR	GK	82	83
1934	International Football	Armes Purtunen	KAR	FWD	81	79
1934	International Football	Christian Leino	KAR	GK	80	79
1934	International Football	Heikki Kovalainen	KAR	DEF	79	77
1934	International Football	Jaan Soosaar	KAR	MID	83	84
1934	International Football	Kasper Kaljurand	KAR	MID	86	87
1934	International Football	Konsta Yrjölä	KAR	DEF	83	82
1934	International Football	Kuismaa Kivisild	KAR	FWD	82	80
1934	International Football	Otto Kask	KAR	MID	81	79
1934	International Football	Paavo Seppälä	KAR	DEF	81	79
1934	International Football	Santeri Helkanen	KAR	DEF	78	77
1934	International Football	Tim Pukki	KAR	FWD	84	85
1934	International Football	Voptá Hendá	KAR	FWD	82	79
1934	International Football	Anoup Ptahmose	KMT	MID	79	81
1934	International Football	Kolthe Harkhuf	KMT	MID	76	78
1934	International Football	Pisenti Ramose	KMT	MID	75	77
1934	International Football	Pishoy Djehuty	KMT	DEF	75	74
1934	International Football	Psote Neferhotep	KMT	MID	78	77
1934	International Football	Sarapamon Nakhtmin	KMT	FWD	79	81
1934	International Football	Shenoute Nebamun	KMT	GK	76	77
1934	International Football	Anselme Vauquelin	LUT	DEF	80	79
1934	International Football	Émile D'Artagnan	LUT	DEF	85	87
1934	International Football	Fabien Blanchet	LUT	GK	86	87
1934	International Football	Itsuki Sakagami	LUT	FWD	77	76
1934	International Football	Oriol Montagut	LUT	DEF	87	88
1934	International Football	Philippe Taillardat	LUT	DEF	79	80
1934	International Football	Rosendo Zapatero	LUT	FWD	85	87
1934	International Football	Siegmund Stracke	LUT	FWD	82	80
1934	International Football	Silvio Caruso	LUT	FWD	85	83
1934	International Football	Tristan Fabron	LUT	MID	80	78
1934	International Football	Valentino Zaccagni	LUT	MID	82	84
1934	International Football	Axel Berg	LVO	GK	78	77
1934	International Football	Ernst Tiesenhausen	LVO	DEF	75	73
1934	International Football	Gvidas RIMKEVIČIUS	LVO	DEF	77	79
1934	International Football	Omar Kazluaska	LVO	FWD	79	81
1934	International Football	Artur Morgensson	MLM	DEF	75	76
1934	International Football	Daniel Lindén	MLM	MID	76	78
1934	International Football	Karl Schmidt	MLM	FWD	78	79
1934	International Football	Lennart Sommar	MLM	MID	76	78
1934	International Football	Leo Strauss	MLM	FWD	77	76
1934	International Football	Oseas Mattsson	MLM	FWD	78	79
1934	International Football	Simon Persson	MLM	GK	75	73
1934	International Football	Wilhelm Wilhelmson	MLM	DEF	77	79
1934	International Football	Erik Aalto	MRJ	GK	80	82
1934	International Football	Olli Aaskruus	MRJ	DEF	75	74
1934	International Football	Oskari Paanalainen	MRJ	DEF	78	80
1934	International Football	Péter Alföldi	MRJ	FWD	75	74
1934	International Football	Santteri Ylikangas	MRJ	DEF	78	80
1934	International Football	Yuki Endō	MRJ	MID	78	76
1934	International Football	Yūki Hattori	MRJ	FWD	79	77
1934	International Football	Colwyn Powell	MYH	FWD	76	73
1934	International Football	Crispin Whitfield	MYH	GK	78	76
1934	International Football	Dario Prado	MYH	DEF	79	76
1934	International Football	Duarte Vasques	MYH	MID	76	78
1934	International Football	Íñigo Basterretxea	MYH	DEF	76	78
1934	International Football	Ludovico Riggio	MYH	MID	77	75
1934	International Football	Marcus Wright	MYH	MID	79	78
1934	International Football	Eisuke Sato	NCH	GK	83	84
1934	International Football	Ganzorig Erdene	NCH	FWD	86	87
1934	International Football	Gen Fija	NCH	DEF	83	84
1934	International Football	Hiromu Furuhashi	NCH	FWD	81	83
1934	International Football	Ikki Dazai	NCH	MID	80	81
1934	International Football	Kiyoshi Torigoe	NCH	MID	84	85
1934	International Football	Makoto Kishima	NCH	MID	84	83
1934	International Football	Naoto UMENOKŌJI	NCH	DEF	81	82
1934	International Football	Rui Ōe	NCH	MID	87	88
1934	International Football	Kamal Bodhipal	NHO	FWD	77	79
1934	International Football	Kenji Nagase	NHO	FWD	84	83
1934	International Football	Pradip Chowdhury	NHO	FWD	76	74
1934	International Football	Sudhir Chakraborty	NHO	MID	80	82
1934	International Football	Tanvir Howlader	NHO	FWD	82	84
1934	International Football	Tatsuki Akagawa	NHO	FWD	80	82
1934	International Football	Dural Tanumura	NKI	GK	80	81
1934	International Football	Keigo IKEDA	NKI	DEF	75	76
1934	International Football	Tanjin Tsukahara	NKI	DEF	76	78
1934	International Football	Warrik Wirandaru	NKI	DEF	77	79
1934	International Football	Yerrin Chindura	NKI	MID	84	85
1934	International Football	Durí Karí	NMZ	MID	78	80
1934	International Football	Basem Shenouda	NRG	GK	84	86
1934	International Football	Merkurios Kudanbes	NRG	DEF	75	77
1934	International Football	Kōhei Gushiken	NSR	DEF	76	77
1934	International Football	Loïc Kervadec	NSR	MID	78	77
1934	International Football	Raleigh Preston	NSR	FWD	79	80
1934	International Football	Silas Davis	NSR	MID	78	77
1934	International Football	Amaury Brissaud	OL	DEF	79	78
1934	International Football	Christophe Gagnon	OL	GK	82	83
1934	International Football	Dorian Roussel	OL	MID	79	80
1934	International Football	Federico Cardinale	OL	MID	77	79
1934	International Football	Félicien Couture	OL	MID	79	80
1934	International Football	Hervé Thibodeau	OL	FWD	82	84
1934	International Football	Léandre Pochard	OL	MID	78	79
1934	International Football	Lothaire Chalumeau	OL	DEF	75	77
1934	International Football	Octave Faravel	OL	MID	78	77
1934	International Football	Pierrick Berthelot	OL	DEF	79	80
1934	International Football	Sylvain Courtemanche	OL	DEF	79	80
1934	International Football	Anselmo Carranza	OT	MID	81	83
1934	International Football	Corrado Montanari	OT	MID	78	77
1934	International Football	Myron Tsosie	OT	DEF	78	77
1934	International Football	Alfred Varde	OTR	FWD	78	76
1934	International Football	Fredrik Busck	OTR	MID	76	75
1934	International Football	Philip McDonald	OTR	DEF	77	79
1934	International Football	Rikard Storgård	OTR	GK	77	78
1934	International Football	Torvald Skogsberg	OTR	FWD	75	77
1934	International Football	Harvey Payne	PCH	MID	78	80
1934	International Football	Jonathan Cannon	PCH	MID	78	77
1934	International Football	Jonathan Fields	PCH	FWD	79	78
1934	International Football	Nelis Harberts	PCH	DEF	79	80
1934	International Football	Scott Riley	PCH	FWD	77	79
1934	International Football	Tadhg Oakes	PCH	MID	78	77
1934	International Football	Alimjan Turghun	PER	FWD	78	80
1934	International Football	Eesko Vähäjärvi	PIE	GK	77	76
1934	International Football	Katsuki Watanabe	PIE	MID	79	78
1934	International Football	Kristian Hansen	PIE	DEF	78	77
1934	International Football	Leevi Kaaren	PIE	MID	75	77
1934	International Football	Litto Tulp	PIE	MID	79	80
1934	International Football	Louis Blanche	PIE	DEF	79	78
1934	International Football	Markku Hongisto	PIE	MID	77	76
1934	International Football	Robert Kivisilta	PIE	DEF	75	74
1934	International Football	Soino Jaakola	PIE	MID	78	79
1934	International Football	Teima Uibo	PIE	DEF	76	74
1934	International Football	Tuomas Tuulensuu	PIE	FWD	77	75
1934	International Football	Karel Černý	POL	FWD	79	80
1934	International Football	Ladislav Kučera	POL	DEF	77	76
1934	International Football	August Rittenhouse	PON	MID	85	86
1934	International Football	Conan Neitzel	PON	MID	78	77
1934	International Football	Diedrich Fassbender	PON	MID	79	77
1934	International Football	Hans-Jürgen Hōnigsberg	PON	FWD	79	80
1934	International Football	Laurenz Reinhart	PON	FWD	78	79
1934	International Football	Maximilian Mollenhauer	PON	GK	84	83
1934	International Football	Pirmin Hoffmeister	PON	MID	77	76
1934	International Football	Robert Schlösser	PON	FWD	77	75
1934	International Football	Simon Schulhof	PON	DEF	77	78
1934	International Football	Tilman Zartmann	PON	DEF	79	80
1934	International Football	Volkmar Scherer	PON	FWD	79	81
1934	International Football	Wilhelm Giesel	PON	FWD	81	82
1934	International Football	Ambroise Guerrier	RCC	MID	78	77
1934	International Football	Cyprien Malartre	RCC	MID	77	76
1934	International Football	Damien Roquefeuil	RCC	FWD	75	74
1934	International Football	Élie Marchesseau	RCC	FWD	80	78
1934	International Football	Jocelyn Teissier	RCC	MID	78	79
1934	International Football	Léon Chastellain	RCC	GK	77	74
1934	International Football	Nolan Perrigault	RCC	FWD	76	75
1934	International Football	Osamu Matsumoto	RCC	MID	75	77
1934	International Football	Rémy Bourdelle	RCC	DEF	78	80
1934	International Football	Valentin Peixoto	RCC	DEF	79	81
1934	International Football	Alex Kaczmarek	RUD	FWD	77	79
1934	International Football	Alexei Razumovsky	RUD	DEF	76	77
1934	International Football	Arkady Vsevolozhsky	RUD	MID	77	75
1934	International Football	Denis Kuznetsov	RUD	FWD	88	89
1934	International Football	Igor NOVIKOV	RUD	MID	79	80
1934	International Football	Ivan Dolgorukiy	RUD	GK	82	84
1934	International Football	Matvei Popov	RUD	DEF	77	74
1934	International Football	Sergei Smirnov	RUD	DEF	76	78
1934	International Football	Timur Oorzhak	RUD	DEF	81	83
1934	International Football	Vitali Korovin	RUD	MID	78	80
1934	International Football	Vsevolod Krestovsky	RUD	DEF	76	77
1934	International Football	Cooper Saint John	SAL	DEF	76	78
1934	International Football	Gunther Hellams	SAL	DEF	75	78
1934	International Football	Piers Skoronsky	SAL	GK	77	80
1934	International Football	William Levice	SAL	MID	76	78
1934	International Football	Batuhan Balyoz	SEL	MID	76	77
1934	International Football	Cihan Kartaca	SEL	MID	75	76
1934	International Football	Erdem Polat	SEL	DEF	76	74
1934	International Football	Haydar Şen	SEL	FWD	76	78
1934	International Football	Kaan Erdoğmuş	SEL	MID	76	77
1934	International Football	Muzaffer DOĞAN	SEL	DEF	77	78
1934	International Football	Orkun Çeti̇n	SEL	MID	83	85
1934	International Football	Sarp Sayda	SEL	DEF	75	77
1934	International Football	Selçuk DEMIRCI	SEL	MID	78	79
1934	International Football	Serhat Di̇lbaz	SEL	MID	75	77
1934	International Football	Tunç Kenaanoğlu	SEL	DEF	82	83
1934	International Football	Vural Surlu	SEL	MID	76	77
1934	International Football	Yavuz Koç	SEL	MID	82	83
1934	International Football	Catmon Nacpil	SGD	FWD	76	78
1934	International Football	Hiraya Halili	SGD	MID	75	76
1934	International Football	Kidlat Ilagan	SGD	MID	76	77
1934	International Football	Lakan Dimayuga	SGD	DEF	78	76
1934	International Football	Makisig Liwanag	SGD	MID	78	80
1934	International Football	Renzo Agbayani	SGD	GK	77	79
1934	International Football	Sagip Gatmaitan	SGD	DEF	76	77
1934	International Football	Aurélien Pasquier	SHZ	MID	81	82
1934	International Football	Began Andersen	SHZ	DEF	78	80
1934	International Football	Erlend Mikkelsen	SHZ	MID	77	79
1934	International Football	Haruto Kido	SHZ	MID	76	77
1934	International Football	Kenshirō Unagami	SHZ	DEF	80	82
1934	International Football	Yūto Shiranui	SHZ	DEF	77	79
1934	International Football	Danylo Perebyinis	SID	MID	76	77
1934	International Football	Myroslav Zalizniak	SID	MID	77	79
1934	International Football	Sviatoslav Boyko	SID	MID	79	81
1934	International Football	Taras Bondarenko	SID	MID	75	72
1934	International Football	Kai Ouyang	SKH	GK	78	79
1934	International Football	Tole-Buqa Inalchi	SKH	MID	75	77
1934	International Football	Emrik Halvorsen	SKJ	FWD	78	77
1934	International Football	Erik Sundqvist	SKJ	MID	79	81
1934	International Football	Henrik Kristianson	SKJ	FWD	79	78
1934	International Football	Hjalmar Lindström	SKJ	FWD	85	86
1934	International Football	Jesper Olsen	SKJ	MID	78	77
1934	International Football	Joar Berglund	SKJ	MID	78	77
1934	International Football	Kenneth Haugland	SKJ	DEF	83	85
1934	International Football	Kent Forsberg	SKJ	MID	81	80
1934	International Football	Ludvig Johansson	SKJ	DEF	76	77
1934	International Football	Magnus Andersson	SKJ	GK	81	83
1934	International Football	Niall Kinsella	SKJ	FWD	79	77
1934	International Football	Nils Nyquist	SKJ	GK	78	77
1934	International Football	Olander STRANDBERG	SKJ	DEF	82	84
1934	International Football	Olof Sjöberg	SKJ	DEF	83	85
1934	International Football	Rasmus Karlssen	SKJ	FWD	79	77
1934	International Football	Sixten Karlsson	SKJ	MID	83	81
1934	International Football	Torbjørn Kvamme	SKJ	MID	79	78
1934	International Football	Victor Tvedt	SKJ	MID	85	86
1934	International Football	Karl Hauschka	SPK	DEF	78	77
1934	International Football	Katsuyoshi Endō	SPK	MID	77	76
1934	International Football	Nuno GOUVEIA	SPK	MID	81	83
1934	International Football	Yōhei Takigawa	SPK	FWD	77	75
1934	International Football	András Arató	SYV	FWD	77	76
1934	International Football	Bertel Vainojärven	SYV	FWD	79	76
1934	International Football	Lauri Purvalainen	SYV	MID	78	80
1934	International Football	Pekka Sihvonen	SYV	DEF	77	76
1934	International Football	Ryūhei Amamiya	SYV	MID	78	77
1934	International Football	Teemo Højland	SYV	MID	77	75
1934	International Football	Yngvar Gustavsonn	SYV	FWD	78	76
1934	International Football	Tibor Almási	TTK	FWD	77	75
1934	International Football	Balázs Jaminai	TUR	MID	78	76
1934	International Football	Bendegúz Farkasházy	TUR	DEF	76	75
1934	International Football	Gergő Tóth	TUR	MID	79	80
1934	International Football	György Erdős	TUR	MID	75	74
1934	International Football	Márton Nagy	TUR	MID	77	78
1934	International Football	Mátyás Szendrei	TUR	DEF	77	78
1934	International Football	Péter Szabó	TUR	MID	89	90
1934	International Football	Saša Radović	TUR	GK	81	82
1934	International Football	Zalán Váradi	TUR	DEF	77	79
1934	International Football	Zoltán Tóth	TUR	DEF	75	74
1934	International Football	Ashkan Mahdavi	VAR	MID	80	81
1934	International Football	Daru Jafari	VAR	MID	80	82
1934	International Football	Pedram Nazeri	VAR	FWD	78	81
1934	International Football	Saīd Farzan	VAR	FWD	76	77
1934	International Football	Sepideh Shakibaii	VAR	MID	85	86
1934	International Football	Vahid Lorestani	VAR	GK	84	85
1934	International Football	Ziyad Subaie	VAR	MID	77	75
1934	International Football	Andrea Ferrari	VIC	DEF	83	82
1934	International Football	Antonio Margheriti	VIC	MID	79	77
1934	International Football	Attila D'Ambrosi	VIC	DEF	83	82
1934	International Football	Cosimo COLOMBO	VIC	FWD	78	77
1934	International Football	Domenico Vivaldi	VIC	DEF	81	82
1934	International Football	Egeo Scalera	VIC	MID	79	78
1934	International Football	Goffredo Ruggeri	VIC	FWD	78	76
1934	International Football	Lorenzo Squillaci	VIC	DEF	80	81
1934	International Football	Marcello LA BARCA	VIC	MID	82	84
1934	International Football	Martino Marrese	VIC	MID	79	78
1934	International Football	Massimo Visconti	VIC	GK	87	85
1934	International Football	Raffaele Lucchese	VIC	MID	84	85
1934	International Football	Renato Fioravanti	VIC	FWD	79	76
1934	International Football	Erno Jumanen	VKS	MID	75	76
1934	International Football	Kimi Vostanen	VKS	MID	75	74
1934	International Football	Teppo Estinen	VKS	MID	77	79
1934	International Football	Brock Fairweather	WIN	DEF	82	84
1934	International Football	Reuben Ashton	WIN	FWD	78	77
1934	General Rebalance	Kanata Hanashima	VKS	FWD	77	80
1934	General Rebalance	Roððo Duongi	NOW	FWD	79	80
1934	General Rebalance	Salteni Pöyhönen	AFK	FWD	75	79
1934	General Rebalance	Takuma Nakamura	KUI	FWD	81	80
1934	General Rebalance	Toma Shimabukuro	AYA	GK	80	82
